用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
著作権,１イ,著作権,思想又は感情を創作的に表現したものを著作物、それに関する権利を著作権という,1.000 ,1.000 ,1.000 ,東21日21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A1数A1日A1第A1実a1清a1一a1日a1実d1一d1,実B1開B1啓B1数B1日B1第B1実b1教b1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1オf1,実a1開a1教a1清a1数a1一a1日a1第a1東d1実d1教d1一d1オd1学d1,実b1開b1教b1数b1日b1第b1教e1啓e1,実c1開c1教c1数c1一c1日c1第c1実f1教f1啓f1一f1オf1,東d1実d1開d1教d1清d1数d1一d1日d1オd1第d1学d1,開e1教e1清e1啓e1数e1日e1学e1,実f1教f1清f1啓f1数f1一f1日f1オf1第f1
著作権法,１イ,著作権,著作権について定める法律,0.767 ,0.754 ,0.854 ,東21,東11東12実11実12数11数12日11第11,東S1東S2開S1数S1数S2日S1日S2第S1日s1日s2,数J1日J1第J1日j1,東s1開s1日s1日s2第s1,日j1,東A1実A2開A1教A1啓A1啓A2日A1第A1清a1一a1日a1一d1,開B1啓B1数B1第B1教b1,開C1啓C1日C1第C1教c1オf1,開a1教a1清a1一a1日a1第a1教d1啓d1一d1,開b1教b1日b1第b1教e1啓e1,開c1教c1日c1第c1教f1一f1オf1,開d1教d1清d1啓d1一d1第d1,教e1啓e1日e1学e1,教f1清f1一f1日f1オf1第f1
著作者,１イ,著作権,著作物を作り出した人,0.473 ,0.402 ,0.332 ,,実13日11第11,日S2日s1日s2,,日s1日s2第s1,,教A1,第B1,,教a1第a1教d1,第b1,,教d1,学e1,
著作物,１イ,著作権,著作権の保護対象。思想又は感情を創作的に表現したもの,0.805 ,0.608 ,0.732 ,東21,東11東12実11実12実13実14数12日11第11,開S1数S1数S2第S1日s1日s2,実J2数J1日J1第J1,開s1日s1日s2,実j2,教A1啓A2第A1清a1,第B1,日C1教c1一c1オf1,教a1清a1第a1教d1啓d1,第b1,教c1一c1日c1第c1教f1啓f1オf1,教d1啓d1第d1,清e1学e1,教f1清f1啓f1オf1第f1
著作人格権|著作者の人格権|著作者人格権,１イ,著作権,著作権のうち、人格的な利益を保護する権利,0.868 ,0.847 ,0.654 ,東21日21,東11東12実11実12実13実14数11数12日11日12第11,東S1東S2実S1実S2数S1数S2日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2数s1日s1日s2第s1,実j1実j2数j1日j1,実A1実A2開A1啓A1第A1実a1清a1実d1,実B1第B1実b1,実C1開C1啓C1日C1第C1実c1実f1,実a1開a1教a1清a1第a1東d1実d1,実b1,実c1開c1日c1実f1,東d1実d1開d1,,実f1清f1日f1
公表権,１イ,著作権,著作者人格権の一つで、作品を公表するしかたを定められる権利,0.493 ,0.518 ,0.328 ,,実11実12実13日11日12,実S1日S2日s1日s2,実J1日j1,実s1日s1日s2,実j1日j1,,,実C1第C1実c1,第a1,,実c1,,,
氏名表示権,１イ,著作権,著作者人格権の一つで、作品に氏名を表示するしかたを定められる権利,0.493 ,0.518 ,0.328 ,,実11実12実13日11日12,実S1日S2日s1日s2,実J1日j1,実s1日s1日s2,実j1日j1,,,実C1第C1実c1,第a1,,実c1,,,
同一性保持権,１イ,著作権,著作者人格権の一つで、作品の同一性を保持させられる権利,0.493 ,0.518 ,0.328 ,,実11実12実13日11日12,実S1日S2日s1日s2,実J1日j1,実s1日s1日s2,実j1日j1,,,実C1第C1実c1,第a1,,実c1,,,
著作権（財産権）,１イ,著作権,著作権のうち、著作者人格権以外のもの。狭義の著作権,0.608 ,0.363 ,0.051 ,東21日21,東11東12実11実12実14日11,日S2日s1日s2,日J1日j1,日s1日s2,日j1,,,実C1,,,,,,
複製権,１イ,著作権,著作権のうち、作品を複製する権利,0.452 ,0.299 ,0.462 ,,実11実12日11日12,日s1日s2,,日s1日s2,,教A1第A1一a1,,啓C1数C1第C1一c1,一a1,,数c1一c1,,,
